MARCA,MODELO ,PRECIO,DESCUENTO,EQUIVALENCIA,CODIGO,,"CODIGO
PRODUCTO"
CAPSA,9FD,260,20,,C-9FD,,
CAPSA,9FDI,260,20,,C-9FDI,,
CAPSA,10FDI,280,20,,C-10FDI,,
CAPSA,10LBI,250,20,,C-10LBI,,
CAPSA,11TO,280,20,,C-11TO,,
CAPSA,11TOD,280,20,,C-11TOD,,
CAPSA,11TOI,280,20,,C-11TOI,,
CAPSA,11TODI,280,20,,C-11TODI,,
CAPSA,13TO,300,20,,C-13TO,,
CAPSA,13TOD,300,20,,C-13TOD,,
CAPSA,13TOI,300,20,,C-13TOI,,
CAPSA ,13TODI,300,20,,C-13TODI,,
CAPSA,11W,290,40,,C-11W,,
CAPSA,11WI,290,40,,C-11WI,,
CAPSA,13W,330,40,,C-13W,,
CAPSA,13WI,330,40,,C-13WI,,
CAPSA,1135,330,40,,C-1135,,
CAPSA,1247L2,310,40,,C-1247L2,,
CAPSA,11AP,290,40,,C-11AP,,
CAPSA,11API,290,40,,C-11API,,
CAPSA,13AP,350,40,,C-13AP,,
CAPSA,13API,350,40,,C-13API,,
CAPSA,13MBI,310,40,,C-13MBI,,
CAPSA,15MB,370,40,,C-15MB,,
CAPSA,15MBI,370,40,,C-15MBI,,
CAPSA,15APCG,410,40,,C-15APCG,,
CAPSA,15APCGI,410,40,,C-15APCGI,,
CAPSA,1765,430,40,,C-1765,,
CAPSA,1731P,450,40,,C-1731P,,
CAPSA,21-4D,580,80,,C-21-4D,,
CAPSA,23-4D,640,80,,C-23-4D,,
CAPSA,28-8D,720,80,,C-28-8D,,
DAEWOO,42B19L,270,20,,D-42B19L,,
DAEWOO,44B19L,250,20,,D-44B19L,,
DAEWOO,50D20L,300,20,,D-50D20L,,
DAEWOO,54316,310,20,,D-54316,,
DAEWOO,55040,310,20,,D-55040,,
DAEWOO,55054,310,20,,D-55054,,
DAEWOO,55B24L,300,20,,D-55B24L,,
DAEWOO,56077,340,40,B-S560D,D-56077,,
DAEWOO,56220,360,40,,D-56220,,
DAEWOO,57113,400,40,,D-57113,,
DAEWOO,60B24LS,320,20,B-65B24LS,D-60B24LS,,
DAEWOO,75D23L,360,40,C-1135,D-75D23L,,
DAEWOO,75D26L,380,40,,D-75D26L,,
DAEWOO,75D26R,380,40,,D-75D26R,,
DAEWOO,80D26L,420,40,,D-80D26L,,
DAEWOO,85D23L,390,40,,D-85D23L,,
DAEWOO,105D31L,450,40,,D-105D31L,,
DAEWOO,105D31R,450,40,,D-105D31R,,
DAEWOO,MF100R,530,40,,D-MF100R,,
DAEWOO,60044,540,40,,D-60044,,
BOSCH,40B19L BHD,330,20,,B-40B19L BHD,,
BOSCH,46B20L,370,20,,B-46B20L,,
BOSCH,S545D,400,20,,B-S545D,,
BOSCH,S550D,400,20,,B-S550D,,22.0.092.S57.020
BOSCH,65B24L,400,20,,B-65B24L,,N1.0.092.S58.010
BOSCH,65B24LS,400,20,,B-65B24LS,,N1.0.092.S58.070
BOSCH,65B24R,400,20,,B-65B24R,,22.0.986.A00.365
BOSCH,70B24L,440,20,,B-70B24L,,22.0.092.S47.026
BOSCH,70B24LS,440,20,,B-70B24LS,,
BOSCH,46B24L,370,20,,B-46B24L,NS60L,22.0.092.S57.024
BOSCH,46B24LS,370,20,,B-46B24LS,NS60LS,22.0.986.A00.363
BOSCH,46B24RS,370,20,,B-46B24RS,,
BOSCH,S560E,430,20,,B-S560E,,N1.0.092.S58.090
BOSCH,S455D,400,20,,B-S455D,,N1.0.092.S48.040
BOSCH,S455DH,430,20,,B-S455DH,,N1.0.092.S58.080
BOSCH,S560D,430,40,,B-S560D,,
BOSCH,S560D COREA,500,40,,B-S560D COREA,,N1.0.092.S68.030
BOSCH,S560DH,510,40,,B-S560DH,,
BOSCH,S560EH,510,40,,B-S560EH,,N1.0.092.S58.110
BOSCH,S665D,500,40,,B-S665D,,22.0.986.A00.223
BOSCH,S665E,500,40,,B-S665E,,N1.0.092.S58.100
BOSCH,S570D,510,40,,B-S570D,,22.0.986.A00.376
BOSCH,S675D,530,40,,B-S675D,,22.0.092.S47.031
BOSCH,S675E,530,40,,B-S675E,,22.0.092.S57.027
BOSCH,80D23L,480,40,,B-80D23L,,22.0.986.A00.377
BOSCH,80D23R,480,40,,B-80D23R,,22.0.092.S47.030
BOSCH,90D23L,530,40,,B-90D23L,,22.0.092.S57.026
BOSCH,90D23R,530,40,,B-90D23R,,22.0.986.A00.382
BOSCH,80D26L BHD,480,40,,B-80D26L,NX110-5L,22.0.092.S57.028
BOSCH,80D26R BHD,480,40,,B-80D26R,NX110-5,
BOSCH,90D26L,530,40,,B-90D26L,,22.0.092.S47.031
BOSCH,90D26R,530,40,,B-90D26R,,22.0.092.S47.028
BOSCH,110D26L,630,40,,B-110D26L,,
BOSCH,110D26R,630,40,,B-110D26R,,N3.606.534.PE
BOSCH,95D31L BHD,560,40,,B-95D31L,NX120-7L,N1.0.092.S68.050
BOSCH,95D31R BHD,560,40,,B-95D31R,NX120-7,
BOSCH,105D31L,570,40,,B-105D31L,,
BOSCH,125D31L,690,40,,B-125D31L,,
BOSCH,125D31R,690,40,,B-125D31R,,
BOSCH,S590DM,640,40,,B-S590DM,,N1.0.092.S58.160
BOSCH,60038,720,40,,B-60038,,
BOSCH,580035,680,40,,B-580035,,
BOSCH,65-7,640,40,,B-65-7,,22.0.092.S67.053
BOSCH,S4180E,940,80,,B-S4180E,,
BOSCH,S6170D,1050,80,,B-S6170D,,
BOSCH,N100,730,40,,B-N100,,
BOSCH,N120,800,80,,B-N120,,
BOSCH,N200,1200,80,,B-N200,,
BOSCH,31-930T,700,40,,B-31-930T,,
BOSCH,AGM LN2,800,40,,B-AGMLN2,,
BOSCH,AGM LN3,900,40,,B-AGMLN3,,
BOSCH,AGM LN4,1100,40,,B-AGMLN4,,
BOSCH,AGM LN5,1200,40,,B-AGMLN5,,
MAXIMA,NS60LMX-740,330,20,C-13TODI,MAX-13TODI,,
MAXIMA,NS60LSMX-740,360,20,C-13TOI,MAX-13TOI,,
MAXIMA,27MX-1030,470,40,C-15APCGI,MAX-15APCGI,,
MAXIMA,27RMX-1030,470,40,C-15APCG,MAX-15APCG,,
MAXIMA,36IMX-630ST,280,20,C-10LBI,MAX-10LBI,,
MAXIMA,42MX-820ST,350,40,C-13W,MAX13W,,
MAXIMA,42IMX-820ST,350,40,C-13WI,MAX-13WI,,
MAXIMA,48IMX-890ST,420,40,C-15MBI,MAX-15MBI,,
MULTIPOWER,11MP35750,330,40,C-1135,MP-1135,,
MULTIPOWER,13MP42I800,330,40,C-13WI,MP-13WI,,
MULTIPOWER,15MP8I900,370,40,C-15MBI,MP-15MBI,,
SOLITE,42B19L,280,20,,S-42B19L,,
SOLITE,42B19R,280,20,,S-42B19R,,
SOLITE,50B19L,310,20,,S-50B19L,,
SOLITE,55B24R,320,20,,S-55B24R,,
SOLITE,55B24RS,320,20,,S-55B24RS,,
SOLITE,65B24L,360,20,,S-65B24L,,
SOLITE,65B24LS,350,20,,S-65B24LS,,
SOLITE,CMF55040,320,40,,S-CMF55040,,
SOLITE,CMF56219,360,40,,S-CMF56219,,
SOLITE,CMF56318,400,40,,S-CMF56318,,
SOLITE,CMF57412,460,40,,S-CMF57412,,
SOLITE,CMF58014,520,40,,S-CMF58014,,
SOLITE,CMF59042,590,40,,S-CMF59042,,
SOLITE,CMF67018,630,80,,S-CMF67018,,
SOLITE,CMF75D23L,360,40,,S-CMF75D23L,,
SOLITE,CMF60038,520,40,,S-CMF60038,,
SOLITE,95D23L,430,40,,S-95D23L,,
SOLITE,105D31L,510,40,,S-105D31L,,
SOLITE,AGM70,730,40,,S-AGM70,,
SOLITE,AGM80,800,40,,S-AGM80,,
SOLITE,AGM95,900,40,,S-AGM95,,
VARTA,NS60LSV5790,360,20,C-13TOI,V-13TOI,,
VARTA,34RV51030,430,40,C-1134,V-1134,,
VARTA,35BLUE-555,390,40,C-1135,V-1135,,
VARTA,42IBLUE550,360,40,C-13WI,V-13WI,,
VARTA,48IV5940,410,40,C-15MBI,V-15MBI,,
VARTA,49V41150ST,540,40,C-60038,V-60038,,
VARTA,65V4-1080,560,40,C-1765,V-1765,,
OPTIMA,34R,750,40,,O-34R,,
OPTIMA,D34/78,850,40,,O-D34/78,,
PANASONIC,60B24L,380,20,,P-60B24L,,
PANASONIC,75D23L,430,40,,P-75D23L,,
PANASONIC,80D23L,470,40,,P-80D23L,,
PANASONIC,90D26L,480,40,,P-90D26L,,
PANASONIC,100D23L,530,40,,P-100D23L,,
PANASONIC,115D31L,560,40,,P-115D31L,,
PANASONIC,115D31R,560,40,,P-115D31R,,
PANASONIC,125D26L,600,40,,P-125D26L,,
PANASONIC,560L25,380,40,,P-560L25,,
PANASONIC,571L28,410,40,,P-571L28,,
PANASONIC,574H28L,460,40,C-15MBI 19cm,P-574H28L,,
PANASONIC,60038,540,40,,P-60038,,
PANASONIC,Q-90,580,40,,P-Q-90,,
